States,Total_vaccinations,Total_distributed,People_vaccinated,People_fully_vaccinated_per_hundred,Total_vaccinations_per_hundred,People_fully_vaccinated,People_vaccinated_per_hundred,Total_boosters_per_hundred,Total_boosters,Share_doses_used,Daily_vaccinations_per_million,Daily_vaccinations,Daily_vaccinations_raw,Distributed_per_hundred
2020,9044666,,,,2.72,,,,,,6539,2170792,57909,
Dec,9044666,,,,2.72,,,,,,6539,2170792,57909,
United States,9044666,,,,2.72,,,,,,6539,2170792,57909,
2021,1.88E+11,2.28E+11,1.03E+11,740736.48,1656489.25,82729169119,908374.33,54030.48,5774224927,16336.916,88631462,1020819840,942633145,2046129.46
Jan,757737933,1363160675,569925372,981.73,6322.33,98916299,5171.12,,,529.519,3821259,46802677,41419251,13078.74
Alabama,3503879,8976725,3036613,9.26,71.44,452731,61.94,,,6.349,47990,235312,245612,183.09
Alaska,1384270,2759925,1117874,33.04,189.24,241622,152.81,,,8.381,112250,82115,66460,377.27
American Samoa,113040,290250,96892,24.28,202.97,13518,173.99,,,6.43,152309,8482,6928,521.18
Arizona,6062374,13584575,5124936,11.57,83.3,841572,70.4,,,7.311,55295,402474,383559,186.62
Arkansas,3294410,6245125,2732801,16.87,109.16,508560,90.55,,,8.669,106480,321332,238915,206.95
Bureau of Prisons,387141,410850,289025,,,77582,,,,16.062,,15818,15679,
California,33789929,78655050,28021908,13.88,85.53,5492167,70.93,,,7.02,55709,2201238,2081579,199.07
Colorado,6339063,10758275,5136649,19.53,110.07,1124167,89.2,,,9.261,56183,323555,262658,186.78
Connecticut,5001838,7739525,4083873,17.8,140.28,633955,114.56,,,10.802,73948,263650,241789,217.07
Delaware,1007957,1968850,825687,16.29,103.5,158396,84.78,,,8.39,63384,61722,62077,202.18
Dept of Defense,5182413,10686175,4533519,,,536443,,,,8.053,,302120,288440,
District of Columbia,973744,1644650,718912,26.6,137.97,187687,101.86,,,10.248,72524,51183,40660,233.04
Federated States of Micronesia,39958,241400,39753,0,38.58,49,38.34,,,2.689,32792,3399,2799,232.96
Florida,21530515,42289725,19125693,10.61,100.23,2278067,89.07,,,7.969,61215,1314750,948791,196.86
Georgia,9129759,20692350,7819705,8.84,85.98,941519,73.64,,,7.177,62598,664627,654584,194.89
Guam,162952,575300,130234,15.06,98.35,24997,78.53,,,4.789,84890,14072,18663,347.03
Hawaii,1250364,2858900,952669,16.1,88.31,227600,67.28,,,6.388,60330,85420,63057,201.93
Idaho,1347619,3117175,1117378,12,75.42,214279,62.52,,,7.176,44039,78699,67696,174.43
Illinois,11047271,22355875,8704482,16.7,87.19,2115403,68.69,,,8.253,45175,572431,576953,176.41
Indian Health Svc,2321847,5881950,1831503,,,350921,,,,6.548,,130253,127465,
Indiana,7144065,13495900,5821494,17.6,106.13,1184320,86.48,,,8.758,62820,422913,340965,200.46
Iowa,2852516,5408375,2365250,13.89,90.41,438845,74.97,,,8.339,44352,139933,116137,171.44
Kansas,2448771,5588150,2026011,12.44,84.06,362249,69.55,,,7.336,43281,126090,122546,191.8
Kentucky,4547107,8145250,4004425,10.33,101.78,460998,89.63,,,9.346,56675,253211,231300,182.31
Long Term Care,39633963,13657350,3210878,,,19329,,,,0.715,,2585673,2371466,
Louisiana,5103586,8725075,4369576,14.7,109.79,683749,93.99,,,9.764,62202,289169,243320,187.7
Maine,1573305,2957075,1238114,20.94,117.06,281362,92.1,,,8.886,52781,70950,72559,219.99
Marshall Islands,40864,217600,39423,1.65,69.94,965,67.49,,,3.003,53003,3096,2854,372.48
Maryland,5349775,12181400,4700968,10.31,88.51,624548,77.76,,,7.263,55389,334865,306331,201.5
Massachusetts,6575752,14117575,5550134,14.34,95.39,987421,80.51,,,7.782,49225,339299,313397,204.83
Michigan,10517322,18420650,8690962,16.63,105.31,1661338,87.03,,,9.42,75574,754752,629935,184.44
Minnesota,5305028,11276475,4283194,17.62,94.08,993373,75.94,,,7.788,50172,282946,303222,199.95
Mississippi,2549637,5642875,2301281,7.74,85.67,230572,77.32,,,7.403,58653,174562,152613,189.6
Missouri,5008534,11176550,3845743,17.06,81.59,1045386,62.64,,,7.459,39073,239815,236793,182.13
Montana,1189986,1981350,952017,20.54,111.34,219376,89.09,,,10.047,49476,52878,55913,185.38
Nebraska,2089544,4102775,1704074,18.67,108.03,361219,88.11,,,8.548,47974,92802,90778,212.11
Nevada,2394475,4838325,1984053,11,77.75,339220,64.43,,,8.117,48398,149084,160259,157.09
New Hampshire,1498038,2790450,1188998,16.32,110.17,222051,87.46,,,9.007,52992,72055,68661,205.22
New Jersey,8257763,15600350,7169028,11.65,93,1035759,80.71,,,8.301,59084,524794,448940,175.64
New Mexico,2937407,4316650,2319958,24.78,140.08,519353,110.65,,,11.239,80772,169365,147067,205.85
New York State,21065311,39535100,17859424,13.89,108.28,2695616,91.81,,,8.82,62579,1217375,1053077,203.27
North Carolina,9733409,20160250,8382873,12.42,92.81,1301858,79.92,,,7.881,67124,704007,642092,192.23
North Dakota,1132835,1446325,883827,29.56,148.63,225315,115.97,,,13.156,64979,49518,48238,189.77
Northern Mariana Islands,126832,317050,81527,69.47,222.96,39516,143.31,,,6.802,119036,6771,4865,557.43
Ohio,10237515,20998725,9152976,9.16,87.59,1070280,78.31,,,8.075,47281,552638,545467,179.63
Oklahoma,4996046,8435425,4202001,17.05,126.26,674763,106.21,,,9.881,64819,256484,241459,213.17
Oregon,4380794,8268800,3761201,14.17,103.87,597157,89.19,,,8.766,66526,280591,232505,196.03
Pennsylvania,11771152,25231625,9611107,15.17,91.96,1944428,75.06,,,7.78,52617,673588,649959,197.09
Puerto Rico,2788902,6644275,2214951,16.71,87.31,533932,69.35,,,7.029,52670,168217,149442,208.01
Republic of Palau,16230,54000,16223,0.06,90.64,6,90.58,,,2.704,179652,3217,791,301.59
Rhode Island,1098499,2258250,874981,20.41,103.71,216283,82.58,,,8.271,45515,48217,45076,213.17
South Carolina,4309071,7669550,3608395,12.76,83.69,656139,70.08,,,9.115,64313,331123,293127,148.96
South Dakota,1278225,1812275,996841,30.62,144.49,271013,112.69,,,11.836,58074,51376,53253,204.84
Tennessee,7105363,13383175,5477334,20.61,104.04,1408229,80.22,,,8.919,45518,310855,309481,195.96
Texas,28422289,48992875,23971424,14.85,98.02,4301585,82.66,,,9.749,48807,1415220,1253671,168.96
United States,380542286,677204475,284420742,14.93,114.64,49584313,85.67,,,8.297,72910,24205764,20832540,203.98
Utah,3368785,5723700,2871952,11.77,105.08,376465,89.58,,,9.786,59051,189314,156281,178.53
Vermont,804326,1449950,605844,22.31,128.87,139250,97.09,,,9.266,66175,41293,33312,232.37
Veterans Health,9933800,19555675,8431690,,,1461384,,,,8.344,,660232,607086,
Virgin Islands,55401,234750,45816,7.03,52.93,7353,43.77,,,3.799,44373,4645,4624,224.25
Virginia,7904408,17608200,6370402,10.75,92.59,918450,74.65,,,7.328,63612,542971,559954,206.3
Washington,7239895,14197650,5950097,14.02,95.08,1069505,78.14,,,8.391,55973,426218,410183,186.44
West Virginia,3134373,4042575,2317166,32.54,174.91,583415,129.32,,,13.013,84550,151531,137994,225.53
Wisconsin,4803339,10374675,4091530,11.5,82.51,670284,70.28,,,7.649,45617,265604,310110,178.2
Wyoming,601066,1188475,519361,13.33,103.85,77092,89.73,,,8.376,60481,35004,35244,205.35
Feb,2987345838,3863567680,2037810536,7410.68,26435.32,768214763,18724.67,,,1207.177,8537512,91793631,89338813,37773.04
Mar,7316576490,9159853060,4613866658,23772.54,66616.62,2486132317,42729.43,,,1500.671,13310808,150735470,153069185,89199.43
Alabama,41576967,62823680,27497900,318.38,847.95,15610861,560.8,,,20.597,160472,786827,786234,1281.26
Alaska,10534628,15095205,6456773,562.34,1440.06,4113816,882.62,,,21.652,202365,148037,142492,2063.46
American Samoa,694047,1168400,431677,476.04,1246.34,265089,775.14,,,16.725,164305,9150,8758,2098.05
Arizona,81615560,99234405,51586471,388.1,1121.29,28249555,708.7,,,25.506,228654,1664296,1659120,1363.34
Arkansas,28224598,41239050,18596306,328.62,935.27,9917154,616.23,,,21.285,181038,546340,533984,1366.53
Bureau of Prisons,2561346,2537125,1556891,,,997114,,,,31.436,,44571,41808,
California,409917920,540066960,275883966,342.41,1037.48,135288675,698.23,,,23.469,230477,9106751,9402368,1366.85
Colorado,62035524,77014340,39601992,398.15,1077.22,22930017,687.69,,,24.916,218161,1256341,1319671,1337.31
Connecticut,42913301,51568365,28640964,410.99,1203.64,14654210,803.34,,,24.126,256335,913907,810848,1446.37
Delaware,10544771,13877115,6711521,378.16,1082.88,3682690,689.26,,,23.456,244101,237699,244164,1425.11
Dept of Defense,44321486,60287480,28453549,,,15082108,,,,21.907,,928620,898148,
District of Columbia,8527914,12600135,4039994,289.24,1208.37,2041115,572.44,,,20.919,239694,169164,179551,1785.32
Federated States of Micronesia,630764,1388100,394261,229.59,608.61,237903,380.39,,,14.218,102343,10607,10277,1339.24
Florida,224459318,301508975,140264299,364.26,1045.09,78231929,653.05,,,23.093,209411,4497666,4518906,1403.81
Georgia,89314599,132453255,55184327,304.33,841.2,32311628,519.75,,,20.909,160301,1701995,1783408,1247.5
Guam,2123235,2660840,1261029,509.16,1280.84,844056,760.73,,,24.856,186652,30941,32327,1605.12
Hawaii,16906891,22456770,10674355,454.37,1194.08,6433100,753.94,,,23.314,226287,320394,322770,1586.05
Idaho,17778433,22348265,11035293,372.55,994.84,6657786,617.51,,,24.662,201825,360672,359994,1250.56
Illinois,135980001,170103055,90268450,367.3,1073.1,46544770,712.36,,,24.711,242880,3077745,3108673,1342.4
Indian Health Svc,23863325,39115735,15409371,400.91,1145.76,8350533,739.83,,,18.888,208922,435149,410398,1878.04
Indiana,67957095,84496980,41652704,394.89,1009.43,26584861,618.71,,,24.977,184661,1243165,1196822,1255.12
Iowa,35418715,42084015,23420229,404.13,1122.6,12750178,742.32,,,25.938,260551,822060,826610,1333.89
Kansas,29051591,41130065,19960201,361.91,997.2,10543319,685.16,,,21.757,232494,677327,681227,1411.8
Kentucky,48484571,59554725,32774429,381.69,1085.23,17052053,733.6,,,25.116,243376,1087324,1080342,1333.04
Long Term Care,233469140,,,,,,,,,,,877197,613963,
Louisiana,46543687,62577600,29355567,370.28,1001.21,17215160,631.45,,,23.111,194685,905055,906650,1346.13
Maine,15963292,19450300,10700690,430.35,1187.57,5785020,796.04,,,25.29,263758,354549,364664,1446.96
Marshall Islands,509793,1071800,346901,276.28,872.71,161385,593.91,,,14.782,168436,9839,9315,1834.96
Maryland,63677695,82294270,42752761,390.06,1053.27,23583734,707.15,,,23.911,236736,1431221,1483489,1361.21
Massachusetts,82952009,96010350,55464492,409.28,1203.5,28211076,804.7,,,26.733,264335,1821938,1875151,1392.99
Michigan,102605547,131382090,66582401,380.26,1027.4,37975030,666.7,,,24.264,206847,2065755,2101378,1315.57
Minnesota,63976973,73892650,42195851,410.75,1134.43,23165018,748.21,,,26.781,240947,1358861,1357943,1310.23
Mississippi,27985423,40199675,18227767,344.9,940.31,10264771,612.46,,,21.639,186246,554292,539254,1350.72
Missouri,59938647,79315565,37931896,334.66,976.6,20539863,618.04,,,23.549,199627,1225206,1245423,1292.33
Montana,12407258,15606895,7942009,431.66,1160.87,4613076,743.11,,,24.713,221764,237018,241475,1460.21
Nebraska,21713575,27053290,13993193,411.15,1122.51,7953154,723.37,,,24.806,238419,461201,466398,1398.52
Nevada,31755172,38981850,20155017,364.75,1030.97,11235018,654.35,,,25.196,215186,662804,662834,1265.62
New Hampshire,14640151,18535605,10427481,371.27,1076.73,5048054,766.88,,,24.406,220849,300290,293382,1363.22
New Jersey,99403301,117624580,68436351,401.45,1119.14,35657406,770.49,,,26.136,253231,2249251,2315369,1324.31
New Mexico,30277934,34043505,19457136,542.82,1443.97,11382557,927.95,,,27.593,268532,563062,552464,1623.56
New York State,206003981,271452415,136980468,352.3,1058.94,68533170,704.14,,,23.452,242287,4713364,5036725,1395.38
North Carolina,110331816,138807490,71205585,376.15,1052.02,39451901,678.93,,,24.641,214813,2252991,2223760,1323.48
North Dakota,9996402,11223560,6136356,463.02,1311.76,3528538,805.23,,,27.632,242631,184900,179177,1472.8
Northern Mariana Islands,716908,1384950,417905,525.46,1260.36,298879,734.71,,,16.121,176065,10015,10203,2434.78
Ohio,121194958,157351095,77842204,380.31,1036.8,44455813,665.93,,,23.848,227426,2658423,2695786,1346.13
Oklahoma,46843795,64233605,29912666,420.12,1183.86,16625037,755.96,,,22.654,220432,872248,834807,1623.32
Oregon,43840821,55447815,28024114,382.6,1039.44,16137120,664.43,,,24.584,202990,856156,859723,1314.65
Pennsylvania,134767032,176893955,91206987,352.56,1052.72,45135214,712.43,,,23.437,251762,3223050,3304918,1381.74
Puerto Rico,24549195,46685350,15752783,283.54,768.66,9055218,493.23,,,16.217,161650,516258,538450,1461.79
Republic of Palau,326625,453200,214577,649.33,1824.01,116276,1198.27,,,22.378,322553,5776,5196,2530.88
Rhode Island,12556681,15007605,8546445,395.61,1185.32,4190817,806.77,,,25.841,282673,299449,302431,1416.65
South Carolina,50560499,64319085,32849224,350.1,982.02,18024626,638.02,,,24.439,203911,1049877,1063912,1249.19
South Dakota,11899425,14782845,7605910,499.43,1345.11,4418317,859.73,,,24.95,251480,222475,218316,1670.97
Tennessee,61710943,87736260,39892521,311.68,903.62,21284833,584.13,,,21.792,189355,1293137,1295927,1284.75
Texas,258035305,349179090,165901241,297.53,889.92,86270874,572.16,,,22.17,199131,5773894,5930352,1204.21
United States,3470863067,4479576330,2266848759,366.9,1045.45,1218064777,682.79,,,23.986,221551,73553858,75037289,1349.31
Utah,31639049,37922740,19001179,264.66,986.91,8484955,592.67,,,25.849,194209,622632,638982,1182.88
Vermont,7543451,9750440,4852709,413.82,1208.92,2582094,777.69,,,23.899,256244,159892,165893,1562.58
Veterans Health,97499842,115323315,60344566,,,38017350,,,,26.19,,1673618,1606338,
Virgin Islands,903930,1455850,580295,281.81,863.51,294984,554.33,,,19.052,193330,20238,21610,1390.78
Virginia,93300808,111203955,60785672,394.99,1093.07,33711739,712.13,,,26.016,223065,1903975,1970797,1302.82
Washington,82815287,103468850,53098199,396.67,1087.57,30205465,697.28,,,24.74,239064,1820444,1857528,1358.74
West Virginia,21657164,26804845,13220018,460.68,1208.45,8255710,737.66,,,25.148,195942,351154,342164,1495.67
Wisconsin,67262201,75619935,42945964,418.18,1155.23,24348684,737.59,,,27.562,246500,1435223,1434840,1298.78
Wyoming,6501108,8915415,3973846,427.65,1123.28,2475084,686.61,,,22.73,186841,108136,106009,1540.44
Apr,12367976934,15593671765,7588873443,43990.42,108613.47,4823602945,66544.56,,,1452.202,15439570,182727689,181099197,142948.06
Alabama,65948293,105132970,42650768,549.45,1344.98,26941384,869.87,,,18.826,174852,857332,862427,2144.14
Alaska,14706803,21502320,8434407,890.58,2010.36,6515106,1152.98,,,20.483,199005,145580,145559,2939.28
American Samoa,1049315,1353940,592790,825.03,1884.23,459460,1064.48,,,23.269,161377,8987,7576,2431.3
Arizona,130022281,165935390,78752807,697.98,1786.34,50805525,1081.95,,,23.56,227253,1654100,1618836,2279.74
Arkansas,45980213,68281510,29011386,605.78,1523.63,18281781,961.32,,,20.215,204495,617128,604000,2262.65
Bureau of Prisons,3875783,4037610,2259091,,,1638416,,,,28.92,,44219,49095,
California,738294745,944896940,483090732,699.55,1868.51,276408681,1222.64,,,23.416,306335,12103863,12000079,2391.4
Colorado,108220698,131571500,68361555,738.19,1879.22,42508508,1187.13,,,24.646,300579,1730939,1751580,2284.71
Connecticut,78898690,97021890,49458885,895.39,2212.99,31923056,1387.25,,,24.375,355484,1267404,1266466,2721.28
Delaware,18540626,23692250,11669682,721.99,1904.03,7030448,1198.4,,,23.472,303213,295256,296027,2433.05
Dept of Defense,73034715,95516040,45879070,,,26474946,,,,22.92,,961765,959872,
District of Columbia,14687633,20110350,8137161,653.79,2081.13,4614136,1152.96,,,21.929,335155,236534,227492,2849.49
Federated States of Micronesia,869214,1895000,533021,327.36,838.67,339306,514.27,,,13.759,85628,8875,9544,1828.45
Florida,378406657,513170090,231133309,680.78,1761.85,146217331,1076.16,,,22.128,259992,5584036,5596593,2389.3
Georgia,149732933,224485375,94378758,518.68,1410.25,55068235,888.9,,,19.316,227013,2410296,2056897,2114.29
Guam,3249265,4074780,2012407,749.07,1960.15,1241717,1213.97,,,23.862,254614,42207,42949,2458.06
Hawaii,28403656,36796660,17403086,822.64,2006.09,11647870,1229.13,,,23.017,359146,508506,519619,2598.87
Idaho,26273584,34591280,15495034,618.37,1470.19,11050486,867.08,,,21.311,186452,333201,316922,1935.66
Illinois,226962784,287504445,146527683,685.97,1791.1,86926718,1156.34,,,22.893,277809,3520338,3426254,2268.85
Indian Health Svc,33734241,48927700,20099523,667.43,1619.66,13901580,965.04,,,20.661,141213,294119,280312,2349.12
Indiana,105696168,138409820,63882869,654.75,1569.99,44077868,948.9,,,22.984,198901,1339041,1357724,2055.91
Iowa,60044658,71114640,36740347,802.35,1903.09,25315606,1164.46,,,25.336,266482,840776,838743,2254
Kansas,51464165,68400470,33421404,737.95,1766.53,21498570,1147.19,,,22.571,255455,744215,724325,2347.87
Kentucky,80916185,99809950,49778686,764.2,1811.18,34140752,1114.17,,,24.349,239129,1068356,1042113,2234.04
Long Term Care,233106186,,,,,,,,,,,81574,70895,
Louisiana,69833462,97650730,40630524,644.9,1502.17,29980375,874,,,20.723,173268,805495,727879,2100.57
Maine,27886050,32336150,17913022,881.42,2074.5,11848509,1332.6,,,24.963,350606,471290,424745,2405.61
Marshall Islands,714342,1446000,408170,523.03,1222.89,305494,698.81,,,15.009,100577,5875,6007,2475.42
Maryland,115755405,144390420,73753145,781.29,1914.67,47235218,1219.94,,,24.027,328349,1985101,1995649,2388.34
Massachusetts,147923265,174014250,95029942,831.25,2146.16,57294192,1378.76,,,25.499,364811,2514459,2563784,2524.68
Michigan,175611001,229997020,109669393,736.56,1758.42,73561681,1098.16,,,22.93,270631,2702758,2698446,2302.99
Minnesota,108348835,122935450,67998770,811.04,1921.19,45739131,1205.75,,,26.45,284759,1605930,1602200,2179.87
Mississippi,42021229,64562800,25337651,598.69,1411.93,17817878,851.35,,,19.539,149832,445929,432701,2169.35
Missouri,100071150,135223320,60021863,651.81,1630.51,40002804,977.98,,,22.182,238365,1462947,1460590,2203.25
Montana,19684961,25782740,11830457,782.06,1841.82,8358362,1106.89,,,22.921,230156,245987,235214,2412.37
Nebraska,36280578,45019630,22338954,779.14,1875.53,15071967,1154.82,,,24.176,257535,498177,472067,2327.32
Nevada,52159116,64192630,31998139,672.63,1693.42,20717779,1038.86,,,24.366,228309,703226,702579,2084.04
New Hampshire,13056616,14042705,9376888,330.34,960.26,4491621,689.61,,,13.909,373054,507246,435160,1032.8
New Jersey,179286807,207143970,116550457,839.65,2018.49,74580511,1312.18,,,25.978,329905,2930282,2921196,2332.14
New Mexico,46808183,54076560,28823333,926.21,2232.33,19421522,1374.61,,,25.982,261163,547609,536168,2578.99
New York State,384613586,464213360,236698372,803.74,1977.09,156361518,1216.73,,,24.814,329966,6418999,6374634,2386.25
North Carolina,178401009,239653060,109768092,690.63,1700.99,72432857,1046.61,,,22.387,220275,2310267,2289705,2285.01
North Dakota,15115673,17136410,8436842,831.17,1983.54,6334175,1107.12,,,26.481,208965,159245,148765,2248.67
Northern Mariana Islands,1033553,1879300,589350,782.7,1817.05,445214,1036.08,,,16.492,204512,11633,11523,3303.9
Ohio,209398214,267441750,126598859,739.14,1791.42,86399082,1083.03,,,23.462,265298,3101076,3070661,2287.94
